index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,441.35,0,0.0,0,-1,441.35,-1
1,1,21.35,66.35,1,0.4,1,6,10.0,0
2,2,22.35,67.35,1,0.5,1,6,95.0,1
3,3,25.35,70.35,1,0.5,1,6,51.25,2
4,4,39.35,84.35,1,0.4,1,6,58.75,1
5,5,49.35,94.35,1,0.5,1,6,48.75,0
11,11,59.35,104.35,1,0.5,1,6,12.5,1
14,14,67.35,112.35,1,0.5,1,6,53.75,0
19,19,104.35,149.35,1,0.5,1,6,72.5,2
27,27,124.35,169.35,1,0.5,1,6,88.75,1
29,29,129.35,174.35,1,0.6,1,6,143.75,0
40,40,162.35,207.35,1,0.4,1,6,36.25,2
41,41,163.35,208.35,1,0.3,1,6,42.5,0
61,61,202.35,247.35,1,0.6,1,6,50.0,1
65,65,214.35,259.35,1,0.5,1,6,32.5,2
73,73,256.35,301.35,1,0.4,1,6,26.25,1
75,75,268.35,313.35,1,0.5,1,6,17.5,2
77,77,298.35,343.35,1,0.3,1,6,66.25,1
81,81,24.905,77.35,-1,-0.4,1,6,10.0,0
82,82,37.639,163.35,-1,-0.5,1,6,95.0,1
83,83,43.17,122.6,-1,-0.5,1,6,51.25,2
84,84,47.366,144.1,-1,-0.4,1,6,58.75,1
85,85,83.7635,144.1,-1,-0.5,1,6,48.75,0
91,91,63.6585,117.85,-1,-0.5,1,6,12.5,1
94,94,71.535,167.1,-1,-0.5,1,6,53.75,0
99,99,115.234,222.85,-1,-0.5,1,6,72.5,2
107,107,149.7725,259.1,-1,-0.5,1,6,88.75,1
109,109,162.245,319.1,-1,-0.6,1,6,143.75,0
120,120,173.263,244.6,-1,-0.4,1,6,36.25,2
121,121,186.2935,251.85,-1,-0.3,1,6,42.5,0
141,141,225.049,298.35,-1,-0.6,1,6,50.0,1
145,145,227.9175,292.85,-1,-0.5,1,6,32.5,2
153,153,264.6965,328.6,-1,-0.4,1,6,26.25,1
155,155,273.324,331.85,-1,-0.5,1,6,17.5,2
157,157,340.43,410.6,-1,-0.3,1,6,66.25,1
161,161,0.0,441.35,0,0.0,0,-1,441.35,-1
