index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,441.35,0,0.0,0,-1,441.35,-1
1,1,21.35,66.35,1,0.4,1,6,10.0,0
2,2,22.35,67.35,1,0.5,1,6,95.0,1
4,4,39.35,84.35,1,0.4,1,6,58.75,1
5,5,49.35,94.35,1,0.5,1,6,48.75,0
7,7,51.35,96.35,1,0.5,1,6,10.0,4
11,11,59.35,104.35,1,0.5,1,6,12.5,1
12,12,63.35,108.35,1,0.4,1,6,68.75,7
13,13,65.35,110.35,1,0.5,1,6,10.0,8
14,14,67.35,112.35,1,0.5,1,6,53.75,0
18,18,87.35,132.35,1,0.4,1,6,48.75,4
20,20,107.35,152.35,1,0.4,1,6,72.5,8
22,22,113.35,158.35,1,0.5,1,6,20.0,8
25,25,116.35,161.35,1,0.4,1,6,60.0,8
27,27,124.35,169.35,1,0.5,1,6,88.75,1
29,29,129.35,174.35,1,0.6,1,6,143.75,0
36,36,148.35,193.35,1,0.5,1,6,105.0,7
39,39,157.35,202.35,1,0.3,1,6,87.5,4
41,41,163.35,208.35,1,0.3,1,6,42.5,0
46,46,177.35,222.35,1,0.4,1,6,42.5,7
50,50,184.35,229.35,1,0.3,1,6,168.75,4
54,54,187.35,232.35,1,0.3,1,6,62.5,8
61,61,202.35,247.35,1,0.6,1,6,50.0,1
72,72,252.35,297.35,1,0.6,1,6,45.0,7
73,73,256.35,301.35,1,0.4,1,6,26.25,1
77,77,298.35,343.35,1,0.3,1,6,66.25,1
81,81,24.905,77.35,-1,-0.4,1,6,10.0,0
82,82,37.639,163.35,-1,-0.5,1,6,95.0,1
84,84,47.366,144.1,-1,-0.4,1,6,58.75,1
85,85,83.7635,144.1,-1,-0.5,1,6,48.75,0
87,87,59.3525,107.35,-1,-0.5,1,6,10.0,4
91,91,63.6585,117.85,-1,-0.5,1,6,12.5,1
92,92,75.9075,178.1,-1,-0.4,1,6,68.75,7
93,93,75.3565,121.35,-1,-0.5,1,6,10.0,8
94,94,71.535,167.1,-1,-0.5,1,6,53.75,0
98,98,126.045,182.1,-1,-0.4,1,6,48.75,4
100,100,127.8835,225.85,-1,-0.4,1,6,72.5,8
102,102,120.6105,179.35,-1,-0.5,1,6,20.0,8
105,105,139.7585,222.35,-1,-0.4,1,6,60.0,8
107,107,149.7725,259.1,-1,-0.5,1,6,88.75,1
109,109,162.245,319.1,-1,-0.6,1,6,143.75,0
116,116,173.671,299.35,-1,-0.5,1,6,105.0,7
119,119,179.9155,290.85,-1,-0.3,1,6,87.5,4
121,121,186.2935,251.85,-1,-0.3,1,6,42.5,0
126,126,205.2325,265.85,-1,-0.4,1,6,42.5,7
130,130,215.1515,399.1,-1,-0.3,1,6,168.75,4
134,134,209.7035,295.85,-1,-0.3,1,6,62.5,8
141,141,225.049,298.35,-1,-0.6,1,6,50.0,1
152,152,262.6235,343.35,-1,-0.6,1,6,45.0,7
153,153,264.6965,328.6,-1,-0.4,1,6,26.25,1
157,157,340.43,410.6,-1,-0.3,1,6,66.25,1
161,161,0.0,441.35,0,0.0,0,-1,441.35,-1
