index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,397.92,0,0.0,0,-1,397.92,-1
6,6,61.771,133.701,1,0.5,1,6,43.75,4
11,11,61.021,212.606,1,0.3,1,6,132.5,8
14,14,74.771,181.1125,1,0.4,1,6,83.75,11
21,21,88.021,212.1075,1,0.5,1,6,112.5,11
22,22,106.521,149.3035,1,0.5,1,6,30.0,8
24,24,106.3766,219.991,1,0.5,1,6,82.1444,11
28,28,125.521,179.346,1,0.4,1,6,10.0,11
34,34,134.271,248.9635,1,0.4,1,6,81.25,4
36,36,147.271,210.906,1,0.3,1,6,46.25,11
41,41,180.521,228.1115,1,0.5,1,6,10.0,4
48,48,220.771,281.826,1,0.4,1,6,53.75,4
49,49,228.021,272.297,1,0.3,1,6,17.5,8
53,53,231.021,286.938,1,0.6,1,6,17.5,11
66,66,259.271,319.5585,1,0.5,1,6,26.25,8
71,71,274.021,345.095,1,0.3,1,6,32.5,11
78,78,290.271,359.626,1,0.6,1,6,56.25,8
80,80,311.271,363.476,1,0.5,1,6,11.25,4
86,86,106.521,151.521,-1,-0.5,1,6,43.75,4
91,91,194.521,239.521,-1,-0.3,1,6,132.5,8
94,94,159.521,204.521,-1,-0.4,1,6,83.75,11
101,101,201.521,246.521,-1,-0.5,1,6,112.5,11
102,102,137.521,182.521,-1,-0.5,1,6,30.0,8
104,104,189.521,234.521,-1,-0.5,1,6,82.1444,11
108,108,136.521,181.521,-1,-0.4,1,6,10.0,11
114,114,216.521,261.521,-1,-0.4,1,6,81.25,4
116,116,194.521,239.521,-1,-0.3,1,6,46.25,11
121,121,191.521,236.521,-1,-0.5,1,6,10.0,4
128,128,275.521,320.521,-1,-0.4,1,6,53.75,4
129,129,246.521,291.521,-1,-0.3,1,6,17.5,8
133,133,249.521,294.521,-1,-0.6,1,6,17.5,11
146,146,286.521,331.521,-1,-0.5,1,6,26.25,8
151,151,307.521,352.521,-1,-0.3,1,6,32.5,11
158,158,347.521,392.521,-1,-0.6,1,6,56.25,8
160,160,323.521,368.521,-1,-0.5,1,6,11.25,4
161,161,0.0,397.92,0,0.0,0,-1,397.92,-1
