index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,397.92,0,0.0,0,-1,397.92,-1
4,4,56.521,126.9875,1,0.4,1,6,45.0,3
6,6,61.771,133.701,1,0.5,1,6,43.75,4
8,8,72.271,137.1675,1,0.3,1,6,41.25,6
9,9,73.021,142.919,1,0.4,1,6,52.5,7
14,14,74.771,181.1125,1,0.4,1,6,83.75,11
17,17,88.021,170.1045,1,0.5,1,6,47.5,14
18,18,76.521,231.0145,1,0.5,1,6,115.0,7
19,19,93.771,156.87,1,0.4,1,6,38.75,15
21,21,88.021,212.1075,1,0.5,1,6,112.5,11
24,24,106.3766,219.991,1,0.5,1,6,82.1444,11
28,28,125.521,179.346,1,0.4,1,6,10.0,11
33,33,134.771,226.5635,1,0.4,1,6,53.75,3
34,34,134.271,248.9635,1,0.4,1,6,81.25,4
36,36,147.271,210.906,1,0.3,1,6,46.25,11
37,37,161.521,218.9525,1,0.5,1,6,20.0,6
38,38,155.771,244.5225,1,0.3,1,6,58.75,15
40,40,178.021,227.4845,1,0.5,1,6,17.5,14
41,41,180.521,228.1115,1,0.5,1,6,10.0,4
43,43,194.271,292.336,1,0.5,1,6,56.25,14
47,47,217.021,300.251,1,0.4,1,6,67.5,7
48,48,220.771,281.826,1,0.4,1,6,53.75,4
50,50,228.521,282.615,1,0.6,1,6,20.0,6
53,53,231.021,286.938,1,0.6,1,6,17.5,11
54,54,226.271,303.965,1,0.4,1,6,51.25,15
59,59,235.021,334.9535,1,0.5,1,6,67.5,6
62,62,255.521,300.637,1,0.5,1,6,10.0,3
65,65,252.771,342.2475,1,0.6,1,6,53.75,14
71,71,274.021,345.095,1,0.3,1,6,32.5,11
74,74,284.271,325.0375,1,0.6,1,6,21.25,3
75,75,288.021,346.211,1,0.6,1,6,17.5,7
79,79,307.271,353.3585,1,0.6,1,6,16.25,15
80,80,311.271,363.476,1,0.5,1,6,11.25,4
84,84,102.521,147.521,-1,-0.4,1,6,45.0,3
86,86,106.521,151.521,-1,-0.5,1,6,43.75,4
88,88,114.521,159.521,-1,-0.3,1,6,41.25,6
89,89,126.521,171.521,-1,-0.4,1,6,52.5,7
94,94,159.521,204.521,-1,-0.4,1,6,83.75,11
97,97,136.521,181.521,-1,-0.5,1,6,47.5,14
98,98,192.521,237.521,-1,-0.5,1,6,115.0,7
99,99,133.521,178.521,-1,-0.4,1,6,38.75,15
101,101,201.521,246.521,-1,-0.5,1,6,112.5,11
104,104,189.521,234.521,-1,-0.5,1,6,82.1444,11
108,108,136.521,181.521,-1,-0.4,1,6,10.0,11
113,113,189.521,234.521,-1,-0.4,1,6,53.75,3
114,114,216.521,261.521,-1,-0.4,1,6,81.25,4
116,116,194.521,239.521,-1,-0.3,1,6,46.25,11
117,117,182.521,227.521,-1,-0.5,1,6,20.0,6
118,118,215.521,260.521,-1,-0.3,1,6,58.75,15
120,120,196.521,241.521,-1,-0.5,1,6,17.5,14
121,121,191.521,236.521,-1,-0.5,1,6,10.0,4
123,123,251.521,296.521,-1,-0.5,1,6,56.25,14
127,127,285.521,330.521,-1,-0.4,1,6,67.5,7
128,128,275.521,320.521,-1,-0.4,1,6,53.75,4
130,130,249.521,294.521,-1,-0.6,1,6,20.0,6
133,133,249.521,294.521,-1,-0.6,1,6,17.5,11
134,134,278.521,323.521,-1,-0.4,1,6,51.25,15
139,139,303.521,348.521,-1,-0.5,1,6,67.5,6
142,142,266.521,311.521,-1,-0.5,1,6,10.0,3
145,145,307.521,352.521,-1,-0.6,1,6,53.75,14
151,151,307.521,352.521,-1,-0.3,1,6,32.5,11
154,154,306.521,351.521,-1,-0.6,1,6,21.25,3
155,155,306.521,351.521,-1,-0.6,1,6,17.5,7
159,159,324.521,369.521,-1,-0.6,1,6,16.25,15
160,160,323.521,368.521,-1,-0.5,1,6,11.25,4
161,161,0.0,397.92,0,0.0,0,-1,397.92,-1
